Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_093.jpg;-15;1;0;1.252086;100.4137;87.18936;0.7098332;66.64056;359.5459
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_143.jpg;-15;1;0;1.283381;100.4507;87.256;0.6771677;65.36581;359.4892
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_192.jpg;-15;1;0;1.324319;100.4768;87.30138;0.6584098;64.49374;359.4671
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_243.jpg;-15;1;0;1.354762;100.5186;87.37063;0.6318635;63.16888;359.4476
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_292.jpg;-15;1;0;1.403201;100.5482;87.41756;0.6226518;62.25844;359.4357
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_343.jpg;-15;1;0;1.432384;100.5951;87.48901;0.6126179;60.85592;359.4285
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_392.jpg;-15;1;0;1.475787;100.6283;87.53732;0.6110297;59.90224;359.4264
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_443.jpg;-15;1;0;1.505743;100.6808;87.61058;0.6118647;58.43995;359.4271
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_492.jpg;-15;1;0;1.550141;100.7177;87.6599;0.6153689;57.44468;359.4274
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_542.jpg;15;1;0;1.543302;100.7616;87.7415;0.594559;58.24953;359.7233
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_593.jpg;15;1;0;1.579601;100.7896;87.79846;0.6111809;59.22327;359.9565
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_643.jpg;15;1;0;1.606627;100.8313;87.88699;0.6787444;60.76727;0.3098649
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_692.jpg;15;1;0;1.647732;100.8587;87.94746;0.718321;61.80956;0.5183987
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_742.jpg;-15;1;0;1.646618;100.9125;88.03024;0.6910633;61.05214;0.4567714
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_793.jpg;-15;1;0;1.688645;100.951;88.08572;0.6921837;60.04895;0.3628261
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_842.jpg;-15;1;0;1.716278;101.0123;88.17029;0.7506136;58.42033;0.1826381
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_891.jpg;-15;1;0;1.75783;101.0554;88.22736;0.824961;57.30246;0.03675955
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_943.jpg;-15;1;0;1.786147;101.1228;88.3134;0.9337121;55.61183;359.8282
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_20_59_993.jpg;-15;1;0;1.827169;101.1697;88.37078;1.000511;54.47486;359.6915
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_043.jpg;-15;1;0;1.85231;101.241;88.45584;0.9959019;52.74166;359.5727
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_093.jpg;-15;1;0;1.885152;101.2893;88.51105;0.8953807;51.58591;359.5517
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_142.jpg;-15;1;0;1.928864;101.3656;88.59262;0.6963524;49.79561;359.5279
C:\MS\Udacity\RoboND-Rover-Project-master\my_dataset\IMG\robocam_2018_10_18_08_21_00_192.jpg;-15;1;0;1.972078;101.4201;88.64687;0.6028664;48.62963;359.4634
